country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),27.0,,,,,,,,22.1,,,,,,,,,,39.3,,,,,,
Albania,ALB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,4.2,,,2.7,,,0.8,,,,1.8,,3.7,1.1,1.1,1.4,1.0,0.3,0.3,,,,
Andorra,AND,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,
Argentina,ARG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),7.3,10.7,17.1,8.2,6.0,4.4,3.5,2.8,2.6,2.4,1.5,1.2,1.3,1.1,1.1,,1.3,1.1,1.6,1.7,2.2,1.4,1.3,1.2,1.0
Armenia,ARM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,24.1,19.8,14.8,10.3,6.1,4.5,3.7,2.0,3.1,2.9,3.1,2.5,2.9,3.4,2.9,2.5,2.4,2.9,2.4,1.5,2.1,1.9,1.9,
American Samoa,ASM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,1.0,,1.0,0.7,,,,0.7,,0.3,,,,0.5,,0.5,,0.5,,1.0,,,,
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,,,0.4,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.5,0.7,0.3,0.2,0.7,0.7,0.3,0.6,0.6,0.7,0.5,0.6,0.5,
Azerbaijan,AZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,11.4,0.2,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,81.5,,,,,,,75.8,,,,,,,74.2,,,,
